Maine Senate - District 1,,,,Maine House of Representatives - District 1,,
,,,,R,James E. Orr,No response
,,,,D,Raegan French LaRochelle,Answers
,,,,,,
,,,,Maine House of Representatives - District 60,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,William L Clardy,Answers
,,,,D,William R. Bridgeo,Answers
,,,,,,
,,,,Maine House of Representatives - District 61,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Amy Davidoff,Answers
,,,,R,Richard T. Bradstreet,No response
,,,,,,
,,,,Maine House of Representatives - District 62,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Katrina J Smith,No response
,,,,U,Lindsey Harwath,Answers
,,,,D,Pam Swift,Answers
,,,,,,
,,,,Maine House of Representatives - District 63,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Scott Wynn Cyrway,No response
,,,,,,
,,,,Maine House of Representatives - District 64,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Colleen M. Madigan,Answers
,,,,R,Ruth Ann Malcolm,No response
,,,,,,
,,,,Maine House of Representatives - District 65,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Bruce A White,No response
,,,,R,Tammy Brown,No response
,,,,,,
,,,,Maine House of Representatives - District 66,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Alicia Barnes,No response
,,,,R,Robert W Nutting,No response
,,,,,,
,,,,Maine House of Representatives - District 67,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Robert Sezak,Answers
,,,,R,Shelley Rudnicki,No response
,,,,,,
,,,,Maine House of Representatives - District 68,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Amanda Noelle Collamore,No response
,,,,D,Stanley B. Short Jr.,Answers
,,,,,,
,,,,Maine House of Representatives - District 69,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Dean Cray,No response
,,,,D,Stephen Alfred Hale III,No response
,,,,,,
,,,,Maine House of Representatives - District 70,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Iver Lofving,Answers
,,,,R,Jennifer Lynn Poirier,No response
,,,,,,
,,,,Maine House of Representatives - District 71,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Allison Mary Perkins,Answers
,,,,R,John E. Ducharme III,No response
,,,,,,
,,,,Maine House of Representatives - District 72,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Larry C. Dunphy,No response
,,,,,,
,,,,Maine House of Representatives - District 73,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Mike Soboleski,No response
,,,,D,Vincent House,No response
,,,,,,
,,,,Maine House of Representatives - District 74,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Greg Kimber,Answers
,,,,R,Randall C. Hall,No response
,,,,,,
,,,,Maine House of Representatives - District 75,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,H. Scott Landry,No response
,,,,R,Tiffany Estabrook,No response
,,,,,,
,,,,Maine House of Representatives - District 76,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Sheila A. Lyman,No response
,,,,D,Tamara Hoke,Answers
,,,,,,
,,,,Maine House of Representatives - District 77,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Bonita L. Bishop,Answers
,,,,R,Tammy L. Schmersal-Burgess,No response
,,,,,,
,,,,Maine House of Representatives - District 78,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,David Thurston,Answers
,,,,R,Rachel Henderson,No response
,,,,,,
,,,,Maine House of Representatives - District 79,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,John Andrews,No response
,,,,,,
,,,,Maine House of Representatives - District 80,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Caldwell Jackson,No response
,,,,,,
,,,,Maine House of Representatives - District 81,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Daniel Sipe,Answers
,,,,R,H. Sawin Millett Jr.,No response
,,,,,,
,,,,Maine House of Representatives - District 82,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Caleb Joshua Ness,No response
,,,,D,Nathan Burnett,Answers
,,,,,,
,,,,Maine House of Representatives - District 83,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Donna Marie Dodge,No response
,,,,U,Walter N Riseman,Answers
,,,,,,
,,,,Maine House of Representatives - District 84,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Barry F. Powers,Answers
,,,,R,Mark Walker,No response
,,,,,,
,,,,Maine House of Representatives - District 85,,
,,,,,,
,,,,CANDIDATES,,
,,,,D,Christopher Struebing,Answers
,,,,R,Kimberly J. Pomerleau,No response
,,,,,,
,,,,Maine House of Representatives - District 86,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,Gregory E. Foster,No response
,,,,D,Jessica L. Fay,Answers
,,,,,,
,,,,Maine House of Representatives - District 87,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,David Boyer,Answers
,,,,U,Mary-Beth Taylor,Answers
,,,,,,
,,,,Maine House of Representatives - District 88,,
,,,,,,
,,,,CANDIDATES,,
,,,,R,James William Sorcek,No response
