,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
1868,Democratic,-0.9375,1.0,-0.9375,4,60,70,0,0.0625,1.0,-0.9375,An Act To Modernize The State's Procurement Laws,An Act To Modernize The<br>State's Procurement Laws,2017-06-15,128,6a8fce9a-de34-4801-84c9-55ba49a56de9,70/0,4/60
1904,Democratic,-0.9377403846153847,0.9846153846153847,-0.9377403846153847,3,61,64,1,0.046875,0.9846153846153847,-0.9377403846153847,An Act To Protect And Expand Access To Solar Power In Maine,An Act To Protect And Expand<br>Access To Solar Power In Maine,2017-08-02,128,216f4c58-c12c-4ab8-b1a2-f5fe71105003,64/1,3/61
1268,Democratic,-0.9384615384615385,1.0,-0.9384615384615385,4,61,70,0,0.06153846153846154,1.0,-0.9384615384615385,An Act To Include Additional Corrections Officers Under The 1998 Special Plan For Retirement And To Amend The Laws Governing Retirement Benefits For Capitol Police Officers,An Act To Include Additional<br>Corrections Officers Under The<br>1998 Special Plan For<br>Retirement And To Amend The<br>Laws Governing Retirement<br>Benefits For Capitol Police<br>Officers,2017-06-06,128,a6164b13-a88c-43c3-8b04-edff66e4e0de,70/0,4/61
1788,Democratic,-0.9393939393939394,1.0,-0.9393939393939394,4,62,68,0,0.06060606060606061,1.0,-0.9393939393939394,"Resolution, Proposing An Amendment To The Constitution Of Maine To Increase The Lengths Of Terms And Decrease The Number Of Terms Of Members Of The Legislature","Resolution, Proposing An<br>Amendment To The Constitution<br>Of Maine To Increase The<br>Lengths Of Terms And Decrease<br>The Number Of Terms Of Members<br>Of The Legislature",2017-05-04,128,1cbbe6cf-4bf9-4a57-8a7c-ace94f7293a7,68/0,4/62
1768,Democratic,-0.927536231884058,0.9710144927536232,-0.927536231884058,3,66,67,2,0.043478260869565216,0.9710144927536232,-0.927536231884058,An Act To Deter The Dealing Of Dangerous Drugs,An Act To Deter The Dealing Of<br>Dangerous Drugs,2017-05-16,128,3f619f4c-e7a9-44b8-ae6a-c1caddaf8eb1,67/2,3/66
1634,Democratic,-0.9272727272727272,1.0,-0.9272727272727272,4,51,63,0,0.07272727272727272,1.0,-0.9272727272727272,An Act To Criminalize The Failure To Make A Report Of Child Abuse Or Neglect As Required By Statute,An Act To Criminalize The<br>Failure To Make A Report Of<br>Child Abuse Or Neglect As<br>Required By Statute,2018-08-30,128,1fdca8c0-dce6-4691-ae60-fb90ba359dd3,63/0,4/51
1766,Democratic,-0.9233100233100233,0.9848484848484849,-0.9233100233100233,4,61,65,1,0.06153846153846154,0.9848484848484849,-0.9233100233100233,An Act To Ensure That Charter School Students Have Access To Extracurricular Activities,An Act To Ensure That Charter<br>School Students Have Access To<br>Extracurricular Activities,2017-05-30,128,35f3606d-2bea-4c35-a1ed-48dacbdfae05,65/1,4/61
1774,Democratic,-0.9710144927536232,1.0,-0.9710144927536232,2,67,69,0,0.028985507246376812,1.0,-0.9710144927536232,An Act To Exempt Public Safety Buildings From Historic Preservation Restrictions,An Act To Exempt Public Safety<br>Buildings From Historic<br>Preservation Restrictions,2017-05-23,128,b5a4d477-8f8f-469e-92b1-62940995ab12,69/0,2/67
1018,Democratic,-0.9710144927536232,1.0,-0.9710144927536232,2,67,69,0,0.028985507246376812,1.0,-0.9710144927536232,An Act To Enact The Toxic Chemicals In The Workplace Act,An Act To Enact The Toxic<br>Chemicals In The Workplace Act,2017-05-16,128,1b6030ee-68fc-423d-9d79-24387c57b7c8,69/0,2/67
1592,Democratic,-0.924901185770751,0.9855072463768116,-0.924901185770751,4,62,68,1,0.06060606060606061,0.9855072463768116,-0.924901185770751,An Act To Reestablish The Office Of Advocacy Within The Department Of Health And Human Services,An Act To Reestablish The<br>Office Of Advocacy Within The<br>Department Of Health And Human<br>Services,2018-07-09,128,6331b896-6a7a-460e-b0cc-9706bac8669c,68/1,4/62
1948,Democratic,-0.925309432351686,0.9859154929577465,-0.925309432351686,4,62,70,1,0.06060606060606061,0.9859154929577465,-0.925309432351686,An Act Regarding Possession Of A Firearm On School Property,An Act Regarding Possession Of<br>A Firearm On School Property,2017-06-27,128,b55122a4-827c-4853-8d7f-e16d2d071048,70/1,4/62
1182,Democratic,-0.9258057538394983,0.9855072463768116,-0.9258057538394983,4,63,68,1,0.05970149253731343,0.9855072463768116,-0.9258057538394983,An Act To Provide For Legislative Review Of Federally Mandated Major Substantive Rules Under The Maine Administrative Procedure Act,An Act To Provide For<br>Legislative Review Of<br>Federally Mandated Major<br>Substantive Rules Under The<br>Maine Administrative Procedure<br>Act,2017-04-25,128,eaee445e-3f52-49f9-a1df-f30b49310a1d,68/1,4/63
1702,Democratic,-0.9260127931769724,0.9857142857142858,-0.9260127931769724,4,63,69,1,0.05970149253731343,0.9857142857142858,-0.9260127931769724,An Act To Amend Education Statutes,An Act To Amend Education<br>Statutes,2017-06-06,128,90094f53-2026-4a42-a1e8-5c314236ad45,69/1,4/63
1954,Democratic,-0.9264705882352942,1.0,-0.9264705882352942,5,63,72,0,0.07352941176470588,1.0,-0.9264705882352942,An Act To Streamline The Management Of Maine's Transportation Infrastructure By Initiating The Process Of Terminating The Maine Turnpike Authority,An Act To Streamline The<br>Management Of Maine's<br>Transportation Infrastructure<br>By Initiating The Process Of<br>Terminating The Maine Turnpike<br>Authority,2018-04-18,128,49bea98e-ad15-44ce-a042-2ba932e0afb3,72/0,5/63
1420,Democratic,-0.9264705882352942,1.0,-0.9264705882352942,5,63,71,0,0.07352941176470588,1.0,-0.9264705882352942,An Act To Expand The Availability Of Electric Vehicle Charging Stations In Maine,An Act To Expand The<br>Availability Of Electric<br>Vehicle Charging Stations In<br>Maine,2017-06-19,128,6b2d2cc5-a104-4cc2-9522-5124b23cc7cb,71/0,5/63
1714,Democratic,-0.9710084033613446,0.9852941176470589,-0.9710084033613446,1,69,67,1,0.014285714285714285,0.9852941176470589,-0.9710084033613446,An Act Concerning Pavement Sealing Products,An Act Concerning Pavement<br>Sealing Products,2017-05-17,128,5e46fcdf-7599-4f3c-8a22-48feb0aaf0ce,67/1,1/69
