Vote key,Vote polarization,Democratic yes votes,Democratic no votes,Republican yes votes,Republican no votes,Title,Date,Session
10d323f5-4a87-4363-bbbf-8b9dfae18000,-1.0,19,0,0,13,An Act To Amend The Whistleblowers' Protection Act To Ensure Coverage In Unionized Workplaces,2022-03-24,130
194b4282-4b45-432e-ae60-eab462c514af,-1.0,73,0,0,53,An Act To Address Waste Associated With Solar Energy Equipment,2021-06-09,130
84b2fa6d-76df-400d-9295-a2f2ef502c0a,-1.0,70,0,0,42,An Act To Enact The Uniform Foreign-Country Money Judgments Recognition Act,2022-04-07,130
64d75631-b9d2-4fa9-a7ff-6903ddb046d5,-1.0,22,0,0,12,An Act Regarding The Waiting Period For Compensation For Incapacity To Work Under The Maine Workers' Compensation Act Of 1992,2021-06-10,130
32e5df6b-2887-43b3-89e1-599d8b94c743,-1.0,18,0,0,13,An Act To Improve Health Care Affordability And Increase Options For Comprehensive Coverage For Individuals And Small Businesses In Maine,2022-03-24,130
66468a92-5def-4442-85a9-6a5ad6d3f2cc,-1.0,75,0,0,57,An Act To Update Statutory References To Building Code Standards For Public Improvements,2022-03-22,130
e400db88-9fbf-407b-a2eb-366b89833215,-1.0,74,0,0,55,An Act To Expand Access To Mental Health And Crisis Care For Individuals In Jails And Individuals Experiencing Homelessness,2022-04-19,130
e94eea10-c1ac-4d8f-8dda-b1ec094b844d,-1.0,22,0,0,12,An Act To Improve The Lives Of Maine Workers By Supporting Apprenticeships That Lead To Good-Paying Jobs,2021-05-19,130
935a10df-d09b-472e-844a-cc32c417430c,-1.0,21,0,0,12,An Act To Establish Ongoing Absentee Voting,2021-06-09,130
9afd2a57-9db5-4cac-8b8d-56f425cbcf22,-1.0,21,0,0,13,"Resolve, To Create The Criminal Records Review Committee",2021-07-19,130
d2868511-468f-43a9-8b87-2d973d473235,-1.0,18,0,0,12,An Act To Protect The Reproductive Rights And Freedoms Of Maine People,2022-04-25,130
95f8e40f-d608-41a1-97a4-1db7fa826541,-1.0,21,0,0,13,"Joint Order, To Extend By 2 Legislative Days The Second Regular Session Of The 130Th Legislature",2022-04-20,130
283edb5f-b34a-4f10-94a8-67b3b66c546d,-1.0,21,0,0,13,"Joint Order, To Extend The Second Regular Session Of The 130Th Legislature For Up To 2 Days",2022-04-19,130
85372ff5-f932-45fd-b94c-24199e49a192,-1.0,22,0,0,13,An Act To Remove Coverage Under The Mainecare Program For Abortions Not Covered By Medicaid,2021-06-17,130
ecbe3660-d208-46df-b577-6d63fa40ff3f,-1.0,21,0,0,13,An Act To Establish Balance In The Governor's Emergency Powers,2021-06-08,130
f8b94aef-3cce-49d1-a446-dcbdd0a0a327,-1.0,22,0,0,13,An Act To Strengthen The Integrity Of The Maine Clean Election Act By Limiting The Amount Of Money Paid To Political Operatives,2021-06-08,130
9e2bc68b-d357-43df-b022-8ea9a90efe46,-1.0,72,0,0,53,"Resolve, To Reestablish And Continue The Work Of The Criminal Records Review Committee",2022-03-09,130
ec56a785-8ef0-468b-9b99-c71c96c96b24,-1.0,21,0,0,13,An Act Concerning Equity In Renewable Energy Projects And Workforce Development,2022-04-19,130
9bbe985e-6f91-4523-ae50-397d97d791c0,-1.0,21,0,0,13,"An Act To Advance Health Equity, Improve The Well-Being Of All Maine People And Create A Health Trust",2022-04-19,130
6f0eff48-c7a5-4820-b29e-ac1f64c5d86a,-1.0,22,0,0,13,An Act To Improve Consistency Within The Maine Human Rights Act,2021-06-16,130
fef8ee3d-83af-4266-91e6-4c85098d3770,-1.0,20,0,0,13,An Act To Amend The Governor's Emergency Powers,2021-06-03,130
15b72d18-e65c-46d6-a664-b046a70cde74,-1.0,73,0,0,56,An Act To Modify The Reporting Requirements For Major Contributors To Ballot Question Campaigns,2022-03-24,130
4bb23951-e9f2-4db4-93b9-62d5fa88947c,-1.0,21,0,0,13,An Act To Require A Majority Vote Of The Legislature For Maine To Join Any Multistate Compact,2021-06-03,130
3beb930d-eaea-42b9-8097-772e4b22f770,-1.0,18,0,0,11,An Act To Promote Labor Education Through The University Of Maine System,2022-04-25,130
d620d771-2605-4d6d-98d8-a56a66efad24,-1.0,22,0,0,12,An Act To Create Culturally Sensitive Treatment And Recovery Halfway Houses For Immigrants Transitioning Out Of The Juvenile Justice System,2021-06-17,130
67ba93e7-7b19-423a-800c-d9ca7a99f589,-1.0,21,0,0,13,An Act To Establish A Fund To Compensate Unjustly Incarcerated Persons,2021-06-15,130
32f30947-595b-4a32-a4c9-0194fdb0a2f8,-1.0,73,0,0,57,An Act To Update The Designation Of Vietnam War Remembrance Day,2022-02-23,130
15f1273e-3423-4603-abad-ad745e7c86b7,-1.0,20,0,0,13,An Act To Increase Funding To Qualifying Municipalities By Sharing Adult Use Marijuana Sales And Excise Tax Revenue,2022-04-15,130
1cb6bbe6-cae2-4df6-aff4-364477eef9c8,-1.0,21,0,0,13,An Act To Update The Classification Of Service Employees,2021-06-03,130
b94c271c-82d1-4612-81d7-622887a372b9,-1.0,72,0,0,56,An Act To Clarify Funding For The Office Of Affordable Health Care,2021-07-19,130
7fb5f702-847b-49c2-b5e0-f9bf8e397681,-1.0,22,0,0,13,An Act To Alleviate The Disproportionate Impact Of Covid-19 And Public Health Outcomes,2021-06-08,130
6590a4a5-d51a-4fba-abb9-4ab1d7be1460,-1.0,22,0,0,12,An Act To Clarify The Authority Of The Department Of Health And Human Services During A Public Health Emergency,2021-06-16,130
68186a89-4fa7-4aee-848a-9a46ecceed39,-1.0,18,0,0,12,"Resolve, To Establish A Pilot Program To Encourage Climate Education In Maine Public Schools",2022-03-09,130
5be4305d-86e2-4b3a-83b2-a03a52cada2f,-1.0,21,0,0,11,An Act Regarding The Issuance Of A Birth Certificate Following A Gender Marker Change,2021-06-15,130
56b757cf-a1ef-4ab5-a07b-d3a48ae237cc,-1.0,19,0,0,13,An Act To Amend The Laws Governing Name Changes,2022-03-24,130
76e2e3f8-c051-4738-95a4-f788a58225e5,-1.0,22,0,0,13,An Act To Implement The Recommendations Of The Right To Know Advisory Committee Concerning Fees Charged For Responding To Public Records Requests,2021-06-14,130
e007aa19-3db2-44a3-b982-f9219574e946,-1.0,65,0,0,51,An Act Regarding Criminal Services For Juveniles,2022-04-25,130
839d42f5-4d82-494e-8554-0774e9fade5a,-1.0,20,0,0,12,An Act To Amend The Maine Parentage Act With Regard To Presumed Parentage,2022-04-05,130
cb2891aa-4f52-491c-9f06-bcc54a40121b,-1.0,22,0,0,13,An Act To Ensure Equality In Women's Health Care Access In Maine By Requiring Facilities Providing Abortions To Inform Patients Of Options And Alternatives,2021-06-16,130
208fd3eb-36a0-4e52-98d1-ae46a0cc93ea,-1.0,21,0,0,13,An Act Regarding Probation And Deferred Disposition,2021-06-15,130
623ea93e-7010-4431-95be-82a8941090e1,-1.0,20,0,0,12,"Resolve, To Review Barriers To Regional Solutions For Housing Choices",2022-04-05,130
3845832c-17fd-4f22-9559-e4760efe0338,-1.0,22,0,0,13,An Act To Amend The Bail Code,2021-06-16,130
b11340c1-84cb-4c14-824e-4bd62dc3d1ee,-1.0,20,0,0,13,An Act To Enact The Maine Psilocybin Services Act,2022-04-19,130
f2b574c6-9ff4-4b8b-975f-a622a2c43e59,-1.0,21,0,0,13,An Act To Ensure That Children Receive Behavioral Health Services,2021-06-16,130
