,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
2332,Democratic,-0.9861111111111112,0.9861111111111112,-0.9861111111111112,0,56,71,1,0.0,0.9861111111111112,-0.9861111111111112,An Act To Update The Regulation Of Public Utility Monopolies,An Act To Update The<br>Regulation Of Public Utility<br>Monopolies,2022-04-19,130,a3269d77-ea51-4645-a830-01942b74390a,71/1,0/56
2906,Democratic,-0.9861111111111112,0.9861111111111112,-0.9861111111111112,0,55,71,1,0.0,0.9861111111111112,-0.9861111111111112,An Act To Transition State And Local Motor Vehicle Fleets To 100 Percent Zero-Emission Vehicles,An Act To Transition State And<br>Local Motor Vehicle Fleets To<br>100 Percent Zero-Emission<br>Vehicles,2022-04-11,130,08f5fdd1-e4a2-4bc2-a601-5e046d244118,71/1,0/55
2542,Democratic,-0.9864864864864865,0.9864864864864865,-0.9864864864864865,0,54,73,1,0.0,0.9864864864864865,-0.9864864864864865,An Act To Limit Qualified Immunity Of Law Enforcement Officers In Maine Civil Rights Act Claims,An Act To Limit Qualified<br>Immunity Of Law Enforcement<br>Officers In Maine Civil Rights<br>Act Claims,2021-06-17,130,1cef69a7-5667-471e-9b5d-d7354ac206b6,73/1,0/54
2652,Democratic,-0.9864864864864865,0.9864864864864865,-0.9864864864864865,0,57,73,1,0.0,0.9864864864864865,-0.9864864864864865,"Resolution, Proposing An Amendment To The Constitution Of Maine To Explicitly Prohibit Discrimination Based On The Sex Of An Individual","Resolution, Proposing An<br>Amendment To The Constitution<br>Of Maine To Explicitly<br>Prohibit Discrimination Based<br>On The Sex Of An Individual",2022-04-20,130,b7cffb2d-91f3-4e87-b095-024aa558bb36,73/1,0/57
2590,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,"An Act To Repeal The Changes Made By Public Law 2019, Chapter 478, ""An Act To Promote Solar Energy Projects And Distributed Generation Resources In Maine""","An Act To Repeal The Changes<br>Made By Public Law 2019,<br>Chapter 478, ""An Act To<br>Promote Solar Energy Projects<br>And Distributed Generation<br>Resources In Maine""",2021-06-10,130,cb2b80e5-3a45-42bd-9d8a-8b6c6df8ed09,22/0,0/12
2550,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Strengthen Laws Protecting Members Of Law Enforcement And Promote In-Classroom Drug Use Avoidance Education,An Act To Strengthen Laws<br>Protecting Members Of Law<br>Enforcement And Promote In-<br>Classroom Drug Use Avoidance<br>Education,2021-06-09,130,52686bf9-b4de-4091-b0d7-9d1061faa3ae,22/0,0/12
2552,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act Regarding The Solicitation Of Contracts For Distributed Resources That Use Renewable Energy,An Act Regarding The<br>Solicitation Of Contracts For<br>Distributed Resources That Use<br>Renewable Energy,2021-06-10,130,2efcf0c4-4184-4777-bfc2-af9513032480,22/0,0/12
2442,Democratic,-1.0,1.0,-1.0,0,12,19,0,0.0,1.0,-1.0,An Act To Amend The Remote Meeting Law In Maine's Freedom Of Access Act,An Act To Amend The Remote<br>Meeting Law In Maine's Freedom<br>Of Access Act,2022-04-12,130,4e756427-801c-419b-a890-3c64e195ffc0,19/0,0/12
1994,Democratic,-1.0,1.0,-1.0,0,54,72,0,0.0,1.0,-1.0,An Act To Maintain Consistency Among Maine's Nondiscrimination Statutes,An Act To Maintain Consistency<br>Among Maine's<br>Nondiscrimination Statutes,2022-03-24,130,9167943c-6869-46c0-bb7f-bab3a3b2d3b3,72/0,0/54
2088,Democratic,-1.0,1.0,-1.0,0,12,22,0,0.0,1.0,-1.0,An Act To Eliminate Or Forgive Fines And Penalties On Persons And Businesses Due To The Covid-19 Pandemic,An Act To Eliminate Or Forgive<br>Fines And Penalties On Persons<br>And Businesses Due To The<br>Covid-19 Pandemic,2021-06-07,130,d7e629d4-f09c-4d36-b128-4ecb4aac5356,22/0,0/12
